#Rank,University,Town
1054,American International College,Springfield
1055,Defiance College,Defiance
1056,Hampden-Sydney College,Hampden-Sydney
1057,Salus University,Elkins Park ...
1058,Montana State University Billings,Billings
1059,Simpson College,Indianola
1060,Point Loma Nazarene University,San Diego ...
1061,John Brown University,Siloam Springs
1062,City University of Seattle,Bellevue ...
1063,Henderson State University,Arkadelphia
1064,Fisk University,Nashville
1065,Florida Memorial University,Miami Gardens
1066,Trinity International University,Deerfield ...
1067,University of South Carolina-Upstate,Spartanburg
1068,Newberry College,Newberry
1069,Southeastern Oklahoma State University,Durant
1070,Midwestern University,Downers Grove ...
1071,Alfred State College,Alfred
1072,Marywood University,Scranton
1073,Ripon College,Ripon
1074,Buena Vista University,Storm Lake
1075,Warner Pacific College,Portland
1076,Marian University,Indianapolis
1077,Avila University,Kansas City
1078,Bluefield College,Bluefield
1079,Bard College at Simon's Rock,Great Barrington
1080,University of St Thomas,Houston
1081,William Penn University,Oskaloosa
1082,Indiana Institute of Technology,Fort Wayne ...
1083,Thiel College,Greenville
1084,Penn State College of Medicine,Hershey
1085,Black Hills State University,Spearfish
1086,Viterbo University,La Crosse
1087,Prescott College,Prescott
1088,Grambling State University,Grambling
1089,Fisher College,Boston ...
1090,Morehouse School of Medicine,Atlanta
1091,Saint Mary's College,Notre Dame ...
1092,South Texas College of Law,Houston
1093,Keystone College,La Plume
1094,College of the Atlantic,Bar Harbor
1095,California State University Maritime Academy,Vallejo
1096,Judson University,Elgin ...
1097,Manchester University,North Manchester ...
1098,Mississippi Valley State University,Itta Bena
1099,Shawnee State University,Portsmouth
1100,Alabama State University,Montgomery
1101,Manhattan School of Music,New York City
1102,Pacific Union College,Angwin
1103,State College of Florida-Manatee-Sarasota,Bradenton
1104,Ringling College of Art and Design,Sarasota
1105,Bethany College,Bethany
1106,Missouri Western State University,St. Joseph
1107,Clarkson College,Omaha
1108,Southeastern University,Lakeland
1109,Covenant College,Lookout Mountain
1110,Bismarck State College,Bismarck
1111,Glenville State College,Glenville
1112,Central Penn College,Summerdale
1113,Eureka College,Eureka ...
1114,Lincoln University,Lincoln University
1115,Indiana University South Bend,South Bend ...
1116,Charleston Southern University,Charleston
1117,Hilbert College,Hamburg
1118,Virginia Wesleyan University,Norfolk
1119,Our Lady of the Lake University,San Antonio
1120,University of the Cumberlands,Williamsburg
1121,Milwaukee Institute of Art & Design,Milwaukee
1122,Notre Dame of Maryland University,Baltimore
1123,University of Mary Hardin-Baylor,Belton
1124,Greenville University,Greenville
1125,Vaughn College of Aeronautics and Technology,Flushing
1126,Blackburn College,Carlinville
1127,Gulf Coast State College,Panama City
1128,Spring Hill College,Mobile
1129,Oklahoma Panhandle State University,Goodwell
1130,Olivet College,Olivet
1131,Cazenovia College,Cazenovia
1132,Heidelberg University,Tiffin
1133,"Union College, Nebraska",Lincoln
1134,Columbus College of Art and Design,Columbus
1135,Life Pacific College,San Dimas ...
